                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0778,                0.54429,                 1.0347,                0.96548,                 0.8578,                0.92805,                0.69587,                0.92148,                0.39384,                0.89159,              0.0033276,              0.0033276,              0.0033276
                      1,                0.92751,                0.40721,                0.95378,                0.96595,                0.86946,                 0.9358,                0.71018,                0.90254,                0.38215,                0.87635,               0.006628,               0.006628,               0.006628
                      2,                0.93764,                0.41276,                0.95003,                0.96308,                 0.8691,                0.93462,                0.68368,                0.99123,                0.42811,                0.88645,              0.0098954,              0.0098954,              0.0098954
                      3,                 0.9649,                 0.4333,                0.95321,                0.97073,                0.87158,                0.93988,                0.68769,                0.96731,                0.41805,                0.88135,              0.0098515,              0.0098515,              0.0098515
                      4,                0.96813,                0.43528,                0.95036,                0.97119,                0.87388,                0.93532,                 0.6804,                 0.9812,                0.43312,                0.88152,              0.0098515,              0.0098515,              0.0098515
                      5,                0.97765,                0.44149,                0.94787,                0.96826,                0.87473,                0.93639,                0.68305,                0.97912,                0.43079,                0.87757,               0.009802,               0.009802,               0.009802
                      6,                0.98204,                0.44182,                0.94889,                0.96929,                0.87206,                0.93541,                0.68125,                0.98251,                 0.4353,                0.87876,              0.0097525,              0.0097525,              0.0097525
                      7,                0.99185,                0.44769,                0.94819,                0.96603,                0.87403,                 0.9369,                0.68381,                0.97536,                0.42502,                0.87512,               0.009703,               0.009703,               0.009703
                      8,                0.99715,                0.45228,                 0.9512,                0.97104,                0.86787,                0.93436,                0.68093,                0.98033,                0.42538,                0.87372,              0.0096535,              0.0096535,              0.0096535
                      9,                      1,                0.45064,                0.95055,                0.96868,                0.87883,                0.93377,                0.68552,                0.94896,                0.41774,                0.87055,               0.009604,               0.009604,               0.009604
                     10,                 1.0057,                0.45401,                0.94963,                0.97436,                0.87012,                0.93456,                0.69037,                0.94124,                0.40781,                0.86893,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0053,                0.45451,                0.95076,                0.97271,                0.87338,                0.93341,                0.68973,                0.92548,                0.40569,                 0.8631,               0.009505,               0.009505,               0.009505
                     12,                 1.0038,                0.45395,                0.94968,                0.96631,                0.87322,                0.93336,                 0.6945,                0.92531,                0.40274,                0.86341,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.005,                0.45713,                0.94984,                0.96966,                0.87696,                0.93593,                0.69646,                0.91389,                 0.3947,                0.86152,               0.009406,               0.009406,               0.009406
                     14,                  1.002,                0.45345,                0.94576,                0.96914,                0.87854,                  0.933,                0.69689,                0.89749,                0.39143,                  0.859,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.002,                0.45143,                0.95259,                0.96814,                0.88097,                0.93466,                0.70244,                0.88926,                0.38736,                0.85683,               0.009307,               0.009307,               0.009307
