                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87598,                0.38655,                0.80218,                0.97299,                0.88405,                0.93713,                 0.7095,                0.95908,                0.45148,                0.69963,              0.0033299,              0.0033299,              0.0033299
                      1,                0.90768,                0.40199,                0.80492,                   0.97,                0.88765,                0.94281,                0.71101,                 1.0013,                0.46699,                0.70278,              0.0066302,              0.0066302,              0.0066302
                      2,                0.97511,                0.43613,                0.81291,                0.96553,                0.87728,                0.93902,                0.67083,                  1.123,                0.51255,                0.71265,              0.0098976,              0.0098976,              0.0098976
                      3,                 1.0613,                 0.4831,                 0.8216,                0.96601,                0.88398,                0.94119,                0.66901,                 1.1134,                0.52503,                0.71355,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0694,                0.48366,                 0.8243,                0.96606,                0.88394,                0.93991,                 0.6786,                 1.0955,                0.49999,                0.70852,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0522,                0.48083,                 0.8198,                0.96322,                0.86664,                0.92785,                0.63373,                 1.1502,                0.55187,                0.71213,               0.009802,               0.009802,               0.009802
                      6,                 1.0337,                0.47288,                0.81863,                0.96443,                0.88021,                0.93852,                0.67756,                 1.0771,                0.50288,                0.70725,              0.0097525,              0.0097525,              0.0097525
                      7,                   1.04,                0.47471,                0.81952,                0.96683,                0.87712,                0.93806,                0.68314,                 1.0485,                0.50024,                0.70715,               0.009703,               0.009703,               0.009703
                      8,                 1.0155,                0.46482,                0.81577,                0.96737,                0.88474,                0.94401,                0.69732,                 1.0444,                0.49736,                0.70508,              0.0096535,              0.0096535,              0.0096535
                      9,                0.99943,                0.45762,                0.81242,                0.96636,                0.87924,                0.93942,                0.67331,                 1.0784,                0.51811,                0.71079,               0.009604,               0.009604,               0.009604
                     10,                 1.0023,                0.46379,                0.81675,                0.96695,                0.89076,                 0.9455,                0.69458,                 1.0274,                0.48932,                0.70588,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.003,                0.45825,                0.81851,                0.96772,                0.88341,                0.94058,                0.69684,                 1.0068,                0.47857,                0.70523,               0.009505,               0.009505,               0.009505
                     12,                0.97859,                0.45126,                0.81131,                0.97103,                0.89027,                0.94443,                0.70026,                 1.0032,                0.46731,                0.70543,              0.0094555,              0.0094555,              0.0094555
                     13,                0.98284,                0.45128,                0.81117,                0.97129,                 0.8894,                0.94619,                0.69974,                0.99987,                0.47241,                0.70543,               0.009406,               0.009406,               0.009406
                     14,                0.96908,                0.44412,                0.81214,                0.96751,                 0.8824,                0.93978,                0.70568,                0.97416,                0.46636,                0.70141,              0.0093565,              0.0093565,              0.0093565
                     15,                0.96879,                0.44717,                0.81245,                0.96844,                0.88408,                0.93947,                 0.7011,                0.98435,                0.47318,                 0.7032,               0.009307,               0.009307,               0.009307
                     16,                0.96383,                0.44433,                 0.8134,                0.96539,                0.89093,                0.94635,                0.71678,                0.97571,                0.45818,                0.70239,              0.0092575,              0.0092575,              0.0092575
                     17,                0.95335,                0.43963,                0.80828,                0.96715,                0.89098,                0.94381,                0.70825,                0.96982,                0.47176,                0.70318,               0.009208,               0.009208,               0.009208
                     18,                0.96021,                0.44582,                0.81059,                 0.9677,                0.89091,                0.95015,                 0.7274,                0.94866,                0.44325,                0.70093,              0.0091585,              0.0091585,              0.0091585
                     19,                0.94984,                0.43788,                0.81071,                0.97009,                0.89333,                0.95263,                0.73272,                0.93209,                0.43124,                0.70088,               0.009109,               0.009109,               0.009109
