                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3178,                 4.3672,                 1.4432,                0.17131,                0.10876,                0.08095,                 0.0287,                 2.8613,                 2.4955,                 1.1121,              0.0033273,              0.0033273,              0.0033273
                      1,                 2.6026,                 1.9431,                 1.0572,                0.23933,                0.16751,                0.12086,                0.04473,                  2.796,                 2.2051,                 1.1336,              0.0066277,              0.0066277,              0.0066277
                      2,                 2.5939,                 1.8574,                 1.0705,                0.31692,                0.18022,                 0.1569,                0.05878,                 2.7952,                 2.0658,                 1.1259,               0.009895,               0.009895,               0.009895
                      3,                 2.5575,                 1.8135,                 1.0692,                 0.5527,                0.23969,                0.21181,                0.08263,                 2.6212,                 1.7304,                 1.1002,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.3981,                 1.6399,                 1.0403,                0.64342,                0.27145,                 0.2675,                 0.1051,                 2.4811,                 1.6637,                 1.0806,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.2499,                 1.4797,                 1.0079,                0.66489,                0.30957,                0.31221,                0.13407,                 2.2886,                 1.4175,                 1.0679,               0.009802,               0.009802,               0.009802
                      6,                 2.1542,                 1.3771,                0.99395,                0.71916,                0.33675,                0.33998,                0.14926,                 2.2557,                 1.4021,                 1.0398,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0788,                 1.3237,                0.98864,                0.71835,                0.33358,                0.34674,                0.16018,                 2.1417,                 1.2402,                 1.0187,               0.009703,               0.009703,               0.009703
                      8,                 2.0214,                 1.2772,                0.97433,                0.73558,                0.36451,                0.36782,                0.16747,                 2.1011,                 1.2592,                 1.0457,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9552,                 1.2222,                 0.9633,                0.75076,                0.35675,                0.37482,                0.18394,                 2.0504,                 1.1996,                 1.0154,               0.009604,               0.009604,               0.009604
                     10,                 1.9237,                 1.1905,                0.95986,                0.77645,                0.36701,                0.41032,                0.20706,                 1.9227,                 1.1128,                0.98738,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8655,                 1.1495,                0.94999,                0.80076,                0.37964,                0.42726,                0.21069,                 1.9067,                 1.0773,                0.99009,               0.009505,               0.009505,               0.009505
                     12,                 1.8572,                  1.134,                0.94849,                 0.7434,                  0.389,                 0.4036,                0.21039,                 1.9175,                 1.0661,                 1.0022,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8144,                 1.0957,                0.93836,                0.76543,                0.38664,                0.40819,                0.20746,                 1.9402,                  1.069,                 1.0271,               0.009406,               0.009406,               0.009406
                     14,                 1.7748,                 1.0756,                0.93704,                0.79489,                0.42123,                0.44365,                 0.2312,                 1.8532,                 1.0142,                0.98284,              0.0093565,              0.0093565,              0.0093565
