                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3503,                 1.4156,                0.96052,                0.42322,                0.32271,                0.31475,                0.18948,                 1.2635,                0.96904,                0.91659,              0.0033251,              0.0033251,              0.0033251
                      1,                  1.317,                 1.0311,                0.93043,                   0.47,                0.34486,                 0.3471,                0.20124,                 1.2813,                0.96664,                0.90949,              0.0066255,              0.0066255,              0.0066255
                      2,                 1.3752,                 1.0366,                0.94166,                0.44938,                0.34974,                0.34495,                0.20535,                 1.2793,                0.98208,                0.91829,              0.0098929,              0.0098929,              0.0098929
                      3,                 1.3836,                  1.029,                0.94586,                0.45528,                0.32992,                0.33531,                0.19848,                 1.2782,                0.97345,                0.91981,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.3507,                0.99058,                0.94015,                0.46916,                0.35645,                0.36172,                0.21537,                 1.2514,                0.93141,                0.91221,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3297,                0.95667,                 0.9317,                0.48402,                0.36076,                 0.3699,                0.21998,                 1.2624,                0.91089,                0.91507,               0.009802,               0.009802,               0.009802
                      6,                 1.3042,                0.92812,                0.92887,                 0.4873,                0.36526,                0.38075,                  0.225,                 1.2418,                0.90532,                0.91125,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.291,                0.91015,                0.92309,                 0.4972,                0.38224,                0.39296,                0.23337,                 1.2305,                0.89273,                0.90508,               0.009703,               0.009703,               0.009703
                      8,                 1.2674,                0.89254,                 0.9186,                0.49081,                0.38264,                0.39437,                0.23812,                 1.2067,                0.87988,                0.90234,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2541,                0.87367,                0.91589,                0.50374,                  0.385,                0.39617,                0.23746,                 1.2222,                0.88171,                0.90287,               0.009604,               0.009604,               0.009604
                     10,                 1.2487,                0.86563,                0.91573,                 0.5119,                0.38687,                 0.4003,                0.24367,                 1.2019,                0.85494,                0.90179,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2259,                0.84183,                0.91321,                0.50414,                0.39411,                0.40497,                0.24696,                 1.1902,                0.85503,                 0.8968,               0.009505,               0.009505,               0.009505
                     12,                 1.2253,                0.83553,                0.90853,                0.52928,                0.39061,                0.41203,                0.25016,                 1.1909,                0.84337,                0.89587,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2219,                0.82575,                0.90725,                0.52526,                0.40692,                0.41803,                0.25258,                 1.1826,                0.83239,                0.89588,               0.009406,               0.009406,               0.009406
                     14,                 1.2078,                0.81375,                0.90527,                0.53313,                 0.4068,                0.41851,                0.25419,                 1.1752,                0.83373,                0.89164,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2003,                0.80497,                0.90499,                0.54028,                0.40167,                0.42373,                0.25839,                  1.163,                0.82339,                0.89232,               0.009307,               0.009307,               0.009307
                     16,                 1.1966,                0.79702,                0.90348,                0.53089,                0.41131,                0.43094,                0.26079,                 1.1666,                0.81627,                0.89226,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1938,                 0.7925,                 0.9002,                0.52157,                0.41632,                0.43009,                0.26077,                 1.1604,                0.82072,                0.88942,               0.009208,               0.009208,               0.009208
                     18,                 1.1865,                0.77901,                0.89899,                0.53155,                0.41713,                0.43089,                0.26361,                 1.1637,                0.82238,                0.89327,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.175,                0.76685,                0.89893,                0.55059,                0.42013,                0.44168,                0.26974,                 1.1541,                0.80566,                0.88801,               0.009109,               0.009109,               0.009109
                     20,                  1.173,                0.76608,                0.89627,                0.53345,                0.42365,                0.43637,                0.26612,                 1.1481,                0.80297,                0.88688,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1674,                0.75856,                0.89513,                0.53723,                0.42403,                0.43892,                0.26946,                 1.1464,                0.80045,                0.88844,                0.00901,                0.00901,                0.00901
                     22,                 1.1558,                0.74876,                 0.8926,                 0.5314,                0.42944,                0.44289,                0.27145,                 1.1413,                0.80167,                0.88564,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1572,                0.74517,                0.89345,                0.54972,                0.41988,                0.44303,                0.27194,                 1.1504,                0.79276,                0.88853,               0.008911,               0.008911,               0.008911
                     24,                 1.1499,                 0.7374,                0.89078,                 0.5493,                0.42239,                0.44314,                0.27308,                 1.1397,                0.79418,                0.88532,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1497,                 0.7333,                0.89022,                0.54901,                0.43025,                0.44566,                0.27298,                 1.1437,                  0.797,                 0.8852,               0.008812,               0.008812,               0.008812
                     26,                 1.1401,                0.72601,                0.88985,                0.55167,                0.43103,                0.44992,                0.27528,                 1.1427,                0.79368,                0.88597,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1366,                0.72121,                0.88829,                0.55583,                0.43164,                0.45026,                0.27651,                 1.1431,                0.78518,                0.88815,               0.008713,               0.008713,               0.008713
                     28,                 1.1342,                0.71541,                0.88833,                0.56327,                0.42299,                0.44622,                0.27265,                 1.1377,                 0.7943,                0.88616,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1271,                 0.7077,                0.88569,                0.54821,                0.43436,                0.45083,                0.27578,                 1.1398,                 0.7874,                  0.885,               0.008614,               0.008614,               0.008614
                     30,                 1.1282,                0.70898,                0.88572,                 0.5589,                 0.4331,                 0.4537,                0.27688,                 1.1452,                 0.7872,                  0.888,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1234,                0.69929,                0.88332,                0.54968,                 0.4342,                0.44719,                 0.2727,                 1.1424,                0.78825,                0.88695,               0.008515,               0.008515,               0.008515
                     32,                 1.1219,                0.69482,                0.88592,                0.56704,                0.42764,                0.45043,                0.27719,                 1.1284,                0.77873,                0.88385,              0.0084655,              0.0084655,              0.0084655
                     33,                  1.119,                0.68844,                0.88299,                0.56863,                0.43155,                0.45539,                0.27964,                 1.1353,                0.78402,                0.88432,               0.008416,               0.008416,               0.008416
                     34,                 1.1099,                0.68437,                0.88189,                0.56268,                0.43488,                0.45061,                0.27711,                 1.1351,                0.78471,                  0.883,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1108,                 0.6806,                0.88084,                0.55328,                0.43713,                 0.4556,                0.28025,                 1.1302,                0.77629,                0.88309,               0.008317,               0.008317,               0.008317
                     36,                 1.1079,                0.67435,                 0.8787,                0.55508,                0.44648,                0.45654,                0.28082,                 1.1272,                0.77484,                0.88202,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0984,                0.66739,                 0.8775,                0.56853,                0.44349,                0.46224,                0.28372,                 1.1278,                0.77661,                0.88164,               0.008218,               0.008218,               0.008218
                     38,                 1.0958,                0.66376,                0.88001,                0.55573,                0.43925,                0.45604,                0.28049,                 1.1282,                 0.7797,                0.88345,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.092,                0.66316,                 0.8779,                0.57339,                0.43344,                0.45789,                0.28355,                  1.121,                0.77632,                0.88267,               0.008119,               0.008119,               0.008119
                     40,                 1.0972,                0.66173,                0.87864,                 0.5711,                0.44136,                0.45969,                0.28416,                 1.1249,                0.77899,                0.88358,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0871,                0.65276,                0.87665,                0.56595,                0.44269,                0.46074,                0.28361,                 1.1255,                0.77789,                0.88193,                0.00802,                0.00802,                0.00802
                     42,                 1.0884,                0.64974,                0.87674,                0.57242,                0.43495,                0.46204,                 0.2849,                 1.1268,                0.77614,                0.88509,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0897,                0.65001,                0.87448,                0.57002,                0.44376,                0.46166,                0.28525,                 1.1239,                0.78015,                0.88295,               0.007921,               0.007921,               0.007921
